Title,Author,Status,Date,Notes
Crime and Punishment,Fyodor Dostoevsky,R,,
The Indespensible Existence of Santa Clause,Hannah Fry,R,,
The Institutes of the Christian Religion,John Calvin,R,,
Talking to Strangers,Malcom Gladwell,C,1/27/2021,
12 Rules For Life,Jordan Peterson,C,1/20/2021,
1984,George Orwell,C,5/29/2020,
Why We Get Sick,,Q,,
I Will Teach You To Be Rich, Ramit Sethi,Q,,
A Brief History of Time,Stephen Hawing,C,5/20/2020,
Abstract Algebra: A First Course,Dan Saracino,C,5/1/2020,
Albert Einstein,Walter Isaacson,C,4/29/2020,
Algorithms to Live By,Brian Christian; Tom Griffiths,C,3/15/2020,
Between the World and Me,Ta-Nehisi Coates,C,,
Brief Answers to the Big Questions,Stephen Hawking,C,5/5/2020,
Desiring God: Meditations of a Christian Hedonist,John Piper,C,,
Don't Waste Your Life,John Piper,C,,
Einstein: His Life and Universe,Walter Isaacson,C,5/1/2020,
Fahrenheit 451,Ray Bradbury,C,,
Frankenstein,Mary Shelley,C,2/18/2020,
Hamlet,,C,,
Harry Potter and the Chamber of Secrets,,C,,
Harry Potter and the Deathly Hallows,,C,,
Harry Potter and the Goblet of Fire,,C,,
Harry Potter and the Half-Blood Prince,,C,,
Harry Potter and the Order of the Phoenix,,C,,
Harry Potter and the Prisoner of Azkaban,,C,,
Harry Potter and the Sorcerer's Stone,,C,,
Into the Wild,Jon Krakauer,C,,
Man's Search for Meaning,,C,,
Mere Christianity,,C,,
Out of the Silent Planet,,C,,
Prince Caspian,,C,,
The Call of the Wild,Jack London,C,1/9/2020,
The Fellowship of the Ring,,C,,
The Fire Next Time,,C,,
The Giver,,C,,
The Great Divorce,,C,,
The Great Gatsby,,C,,
The Hobbit,,C,,
The Horse and His Boy,,C,,
The Knowledge of the Holy,A.W. Tozer,C,,
The Last Battle,,C,,
The Lion the Witch and the Wardrobe,,C,,
The Magician's Nephew,,C,,
The Mathematics of Love,Hannah Fry,C,5/2/2020,
The Pilgrim's Progress,,C,,
The Pursuit of God,A.W. Tozer,C,3/12/2020,
The Push: A Climber's Search for the Path,,C,,
The Return of the King,,C,,
The Scarlet Letter,,C,,
The Screwtape Letters,,C,,
The Silver Chair,,C,,
The Two Towers,,C,,
The Voyage of the Dawn Treader,,C,,
Travels in Alaska,John Muir,C,4/1/2020,
Wuthering Heights,,C,,
Life of Pi,,C,,
The Hunger Games,,C,,
Spurgeon's Sermons Vol. 1,,C,,
Spurgeon's Sermons Vol. 2,,C,,
Brave New World,,Q,,
Sapians,,Q,,Recommended by Alex Killman
Beyond Doubt,Jordan Peterson,Q,,
Anna Karenina,,Q,,
